ID,Ath_besthit,Araport11_defline
HORVU.MOREX.r2.5HG0408770.1,AT2G38870,"Serine protease inhibitor, potato inhibitor I-type family protein"
HORVU.MOREX.r2.5HG0408790.1,AT5G48640,Cyclin family protein
HORVU.MOREX.r2.5HG0408800.1,AT5G48655,RING/U-box superfamily protein
HORVU.MOREX.r2.5HG0408810.1,AT3G02370,tRNA-splicing endonuclease subunit
HORVU.MOREX.r2.5HG0408830.1,AT3G57360,tRNA-splicing endonuclease subunit
HORVU.MOREX.r2.5HG0408850.1,AT1G50910,hypothetical protein
HORVU.MOREX.r2.5HG0408920.1,AT3G25030,RING/U-box superfamily protein
HORVU.MOREX.r2.5HG0408940.1,AT4G33330,plant glycogenin-like starch initiation protein 3
HORVU.MOREX.r2.5HG0408980.1,AT2G03170,SKP1-like 14
HORVU.MOREX.r2.5HG0409010.1,AT1G73020,anoctamin-like protein
HORVU.MOREX.r2.5HG0409050.1,AT2G03150,ATP/GTP-binding protein family
HORVU.MOREX.r2.5HG0409150.1,AT1G47765,F-box and associated interaction domains-containing protein
HORVU.MOREX.r2.5HG0409160.1,AT1G71840,transducin family protein / WD-40 repeat family protein
HORVU.MOREX.r2.5HG0409210.1,,
HORVU.MOREX.r2.5HG0409220.1,AT2G39490,F-box family protein
HORVU.MOREX.r2.5HG0409260.1,AT1G04860,ubiquitin-specific protease 2
HORVU.MOREX.r2.5HG0409270.1,AT1G65130,Ubiquitin carboxyl-terminal hydrolase-related protein
HORVU.MOREX.r2.5HG0409280.1,AT3G25110,fatA acyl-ACP thioesterase
HORVU.MOREX.r2.5HG0409290.1,AT1G11160,Transducin/WD40 repeat-like superfamily protein
HORVU.MOREX.r2.5HG0409310.1,AT2G24080,F-box protein (DUF295)
HORVU.MOREX.r2.5HG0409320.1,AT5G64370,beta-ureidopropionase
HORVU.MOREX.r2.5HG0409330.1,AT1G69070,nucleolar-like protein
HORVU.MOREX.r2.5HG0409340.1,AT1G69040,ACT domain repeat 4
HORVU.MOREX.r2.5HG0409360.1,AT3G30820,retrotransposon ORF-1 protein
HORVU.MOREX.r2.5HG0409370.1,AT5G60710,Zinc finger (C3HC4-type RING finger) family protein
HORVU.MOREX.r2.5HG0409380.1,AT3G06860,multifunctional protein 2
HORVU.MOREX.r2.5HG0409400.1,AT5G44220,F-box family protein
HORVU.MOREX.r2.5HG0409410.1,AT3G53480,pleiotropic drug resistance 9
HORVU.MOREX.r2.5HG0409420.1,AT3G27190,uridine kinase-like 2
HORVU.MOREX.r2.5HG0409430.1,AT3G01850,Aldolase-type TIM barrel family protein
HORVU.MOREX.r2.5HG0409440.1,AT3G60820,N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein
HORVU.MOREX.r2.5HG0409490.1,AT5G50400,purple acid phosphatase 27
HORVU.MOREX.r2.5HG0409500.1,AT2G31390,pfkB-like carbohydrate kinase family protein
HORVU.MOREX.r2.5HG0409530.1,AT5G02700,F-box/RNI-like superfamily protein
HORVU.MOREX.r2.5HG0409540.1,AT1G15690,Inorganic H pyrophosphatase family protein
HORVU.MOREX.r2.5HG0409550.1,AT1G67370,DNA-binding HORMA family protein
HORVU.MOREX.r2.5HG0409560.1,AT4G24900,coiled coil protein
HORVU.MOREX.r2.5HG0409570.1,AT5G56240,hapless protein
HORVU.MOREX.r2.5HG0409580.1,AT5G50570,Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein
HORVU.MOREX.r2.5HG0409600.1,AT4G39830,Cupredoxin superfamily protein
HORVU.MOREX.r2.5HG0409640.1,AT4G39830,Cupredoxin superfamily protein
HORVU.MOREX.r2.5HG0409670.1,AT5G45160,Root hair defective 3 GTP-binding protein (RHD3)
HORVU.MOREX.r2.5HG0409680.1,AT4G39830,Cupredoxin superfamily protein
HORVU.MOREX.r2.5HG0409700.1,AT1G27290,transmembrane protein
HORVU.MOREX.r2.5HG0409710.1,AT1G27970,nuclear transport factor 2B
HORVU.MOREX.r2.5HG0409720.1,AT2G27020,20S proteasome alpha subunit G1
HORVU.MOREX.r2.5HG0409740.1,AT2G27505,FBD-like domain family protein
HORVU.MOREX.r2.5HG0409750.1,AT1G33710,RNA-directed DNA polymerase (reverse transcriptase)-related family protein
HORVU.MOREX.r2.5HG0409840.1,AT5G14130,Peroxidase superfamily protein
HORVU.MOREX.r2.5HG0409850.1,AT3G07680,emp24/gp25L/p24 family/GOLD family protein
HORVU.MOREX.r2.5HG0409860.1,AT3G62870,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein
HORVU.MOREX.r2.5HG0409940.1,AT3G26935,DHHC-type zinc finger family protein
HORVU.MOREX.r2.5HG0409950.1,AT5G18310,ubiquitin hydrolase
HORVU.MOREX.r2.5HG0410010.1,AT3G14570,glucan synthase-like 4
HORVU.MOREX.r2.5HG0410020.1,AT3G26932,dsRNA-binding protein 3
HORVU.MOREX.r2.5HG0410050.1,AT1G65810,P-loop containing nucleoside triphosphate hydrolases superfamily protein
HORVU.MOREX.r2.5HG0410060.1,AT1G53710,Calcineurin-like metallo-phosphoesterase superfamily protein
HORVU.MOREX.r2.5HG0410080.1,AT1G71400,receptor like protein 12
HORVU.MOREX.r2.5HG0410090.1,AT5G53670,transmembrane protein
HORVU.MOREX.r2.5HG0410100.1,AT3G06790,plastid developmental protein DAG
HORVU.MOREX.r2.5HG0410120.1,AT2G33480,NAC domain containing protein 41
HORVU.MOREX.r2.5HG0410150.1,AT1G30620,NAD(P)-binding Rossmann-fold superfamily protein
HORVU.MOREX.r2.5HG0410160.1,AT3G18100,myb domain protein 4r1
HORVU.MOREX.r2.5HG0410170.1,AT5G50850,Transketolase family protein
HORVU.MOREX.r2.5HG0410180.1,AT2G33490,hydroxyproline-rich glycoprotein family protein
HORVU.MOREX.r2.5HG0410190.1,AT1G32127,plant viral-response family protein
HORVU.MOREX.r2.5HG0410210.1,AT3G26890,meiosis chromosome segregation family protein
HORVU.MOREX.r2.5HG0410220.1,AT5G41130,Esterase/lipase/thioesterase family protein
HORVU.MOREX.r2.5HG0410240.1,AT1G54570,Esterase/lipase/thioesterase family protein
HORVU.MOREX.r2.5HG0410300.1,AT5G16120,alpha/beta-Hydrolases superfamily protein
HORVU.MOREX.r2.5HG0410330.1,AT4G22758,PPR containing protein
HORVU.MOREX.r2.5HG0410340.1,AT4G39850,peroxisomal ABC transporter 1
HORVU.MOREX.r2.5HG0410350.1,AT5G43310,COP1-interacting protein-like protein
HORVU.MOREX.r2.5HG0410360.1,AT1G34320,Ikzf5 (DUF668)
HORVU.MOREX.r2.5HG0410370.1,AT1G65800,receptor kinase 2
HORVU.MOREX.r2.5HG0410380.1,AT3G12300,cilia/flagella-associated protein
HORVU.MOREX.r2.5HG0410390.1,AT1G34320,Ikzf5 (DUF668)
HORVU.MOREX.r2.5HG0410450.1,AT5G50915,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
HORVU.MOREX.r2.5HG0410460.1,AT5G13300,ARF GTPase-activating protein
HORVU.MOREX.r2.5HG0410470.1,AT4G16940,Disease resistance protein (TIR-NBS-LRR class) family
HORVU.MOREX.r2.5HG0410480.1,AT1G69630,F-box/RNI-like superfamily protein
HORVU.MOREX.r2.5HG0410500.1,AT5G13480,Transducin/WD40 repeat-like superfamily protein
HORVU.MOREX.r2.5HG0410510.1,AT1G05950,hypothetical protein
HORVU.MOREX.r2.5HG0410530.1,AT1G15580,indole-3-acetic acid inducible 5
HORVU.MOREX.r2.5HG0410540.1,AT5G47920,transcription elongation factor
HORVU.MOREX.r2.5HG0410610.1,AT2G45910,U-box domain-containing protein kinase family protein
HORVU.MOREX.r2.5HG0410620.1,AT2G45910,U-box domain-containing protein kinase family protein
HORVU.MOREX.r2.5HG0410680.1,AT4G20520,RNA binding / RNA-directed DNA polymerase
HORVU.MOREX.r2.5HG0410690.1,AT1G02850,beta glucosidase 11
HORVU.MOREX.r2.5HG0410700.1,AT1G02850,beta glucosidase 11
HORVU.MOREX.r2.5HG0410760.1,AT1G02850,beta glucosidase 11
HORVU.MOREX.r2.5HG0410780.1,AT1G02850,beta glucosidase 11
HORVU.MOREX.r2.5HG0410810.1,AT5G11730,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"
HORVU.MOREX.r2.5HG0410830.1,AT5G59710,VIRE2 interacting protein 2
HORVU.MOREX.r2.5HG0410860.1,AT3G51980,ARM repeat superfamily protein
HORVU.MOREX.r2.5HG0410870.1,AT5G47870,cobalt ion-binding protein
HORVU.MOREX.r2.5HG0410880.1,AT5G11680,classical AGP protein
HORVU.MOREX.r2.5HG0410890.1,AT2G17050,disease resistance protein (TIR-NBS-LRR class)
HORVU.MOREX.r2.5HG0410900.1,AT3G14470,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.5HG0410910.1,AT1G07840,Sas10/Utp3/C1D family
HORVU.MOREX.r2.5HG0410920.1,AT4G35450,ankyrin repeat-containing protein 2
HORVU.MOREX.r2.5HG0410930.1,AT2G23230,Terpenoid cyclases/Protein prenyltransferases superfamily protein
HORVU.MOREX.r2.5HG0410940.1,AT1G03520,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"
HORVU.MOREX.r2.5HG0410950.1,AT3G03310,lecithin:cholesterol acyltransferase 3
HORVU.MOREX.r2.5HG0410970.1,AT1G48140,dolichol-phosphate mannosyltransferase-like protein
HORVU.MOREX.r2.5HG0410980.1,AT3G59310,solute carrier family 35 protein (DUF914)
HORVU.MOREX.r2.5HG0411000.1,AT3G31900,ATP-dependent helicase family protein
HORVU.MOREX.r2.5HG0411010.1,AT1G47960,cell wall / vacuolar inhibitor of fructosidase 1
HORVU.MOREX.r2.5HG0411020.1,AT1G25240,ENTH/VHS/GAT family protein
HORVU.MOREX.r2.5HG0411080.1,AT3G59350,Protein kinase superfamily protein
HORVU.MOREX.r2.5HG0411090.1,AT2G43370,RNA-binding (RRM/RBD/RNP motifs) family protein
HORVU.MOREX.r2.5HG0411130.1,AT1G05890,RING/U-box superfamily protein
HORVU.MOREX.r2.5HG0411150.1,AT5G48440,FAD-dependent oxidoreductase family protein
HORVU.MOREX.r2.5HG0411170.1,AT2G43320,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
HORVU.MOREX.r2.5HG0411180.1,AT1G74458,transmembrane protein
HORVU.MOREX.r2.5HG0411200.1,AT3G59380,farnesyltransferase A
HORVU.MOREX.r2.5HG0411220.1,AT1G27440,Exostosin family protein
HORVU.MOREX.r2.5HG0411230.1,AT1G05950,hypothetical protein
HORVU.MOREX.r2.5HG0411240.1,AT3G29765,General transcription factor 2-related zinc finger protein
HORVU.MOREX.r2.5HG0411260.1,AT3G07480,2Fe-2S ferredoxin-like superfamily protein
HORVU.MOREX.r2.5HG0411270.1,AT3G59430,hypothetical protein
HORVU.MOREX.r2.5HG0411280.1,AT5G47910,respiratory burst oxidase homologue D
HORVU.MOREX.r2.5HG0411290.1,AT5G08470,peroxisome 1
HORVU.MOREX.r2.5HG0411310.1,AT2G46900,transcription factor-like protein
HORVU.MOREX.r2.5HG0411320.1,AT1G05910,cell division cycle protein 48-related / CDC48-like protein
HORVU.MOREX.r2.5HG0411350.1,AT5G10920,L-Aspartase-like family protein
HORVU.MOREX.r2.5HG0411360.1,AT1G56450,20S proteasome beta subunit G1
HORVU.MOREX.r2.5HG0411370.1,AT3G59490,hypothetical protein
HORVU.MOREX.r2.5HG0411380.1,AT2G30695,bacterial trigger factor
HORVU.MOREX.r2.5HG0411410.1,AT5G51720,"2 iron, 2 sulfur cluster binding protein"
HORVU.MOREX.r2.5HG0411420.1,AT2G31510,IBR domain-containing protein
HORVU.MOREX.r2.5HG0411440.1,AT2G03480,QUASIMODO2 LIKE 2
HORVU.MOREX.r2.5HG0411460.1,AT5G16390,chloroplastic acetylcoenzyme A carboxylase 1
HORVU.MOREX.r2.5HG0411480.1,AT1G13160,ARM repeat superfamily protein
HORVU.MOREX.r2.5HG0411500.1,AT1G71060,Tetratricopeptide repeat (TPR)-like superfamily protein
HORVU.MOREX.r2.5HG0411510.1,AT5G09250,ssDNA-binding transcriptional regulator
HORVU.MOREX.r2.5HG0411540.1,AT3G15930,Pentatricopeptide repeat (PPR) superfamily protein
HORVU.MOREX.r2.5HG0411550.1,AT2G30710,Ypt/Rab-GAP domain of gyp1p superfamily protein
HORVU.MOREX.r2.5HG0411560.1,AT1G07660,Histone superfamily protein
HORVU.MOREX.r2.5HG0411590.1,AT1G06070,Basic-leucine zipper (bZIP) transcription factor family protein
HORVU.MOREX.r2.5HG0411600.1,AT2G43410,RNA binding protein
HORVU.MOREX.r2.5HG0411610.1,AT2G43420,3-beta hydroxysteroid dehydrogenase/isomerase family protein
HORVU.MOREX.r2.5HG0411630.1,AT2G16450,F-box and associated interaction domains-containing protein
HORVU.MOREX.r2.5HG0411640.1,AT1G71530,Protein kinase superfamily protein
HORVU.MOREX.r2.5HG0411650.1,AT3G46120,purple acid phosphatase 19
HORVU.MOREX.r2.5HG0411690.1,AT5G28840,"GDP-D-mannose 3',5'-epimerase"
HORVU.MOREX.r2.5HG0411760.1,ATMG00580,NADH dehydrogenase subunit 4
HORVU.MOREX.r2.5HG0411790.1,AT3G25530,glyoxylate reductase 1
HORVU.MOREX.r2.5HG0411900.1,AT1G06130,glyoxalase 2-4
HORVU.MOREX.r2.5HG0411910.1,AT2G02380,glutathione S-transferase (class zeta) 2
HORVU.MOREX.r2.5HG0411920.1,AT1G68000,phosphatidylinositol synthase 1
HORVU.MOREX.r2.5HG0411930.1,AT2G02390,glutathione S-transferase zeta 1
HORVU.MOREX.r2.5HG0411940.1,AT1G08760,"GPI-anchored adhesin-like protein, putative (DUF936)"
HORVU.MOREX.r2.5HG0411980.1,AT3G03080,Zinc-binding dehydrogenase family protein
HORVU.MOREX.r2.5HG0412050.1,AT3G59660,C2 domain-containing protein / GRAM domain-containing protein
HORVU.MOREX.r2.5HG0412070.1,AT1G21500,hypothetical protein
HORVU.MOREX.r2.5HG0412110.1,AT3G25500,formin homology 1
HORVU.MOREX.r2.5HG0412120.1,AT5G48370,Thioesterase/thiol ester dehydrase-isomerase superfamily protein
HORVU.MOREX.r2.5HG0412140.1,AT2G43820,UDP-glucosyltransferase 74F2
HORVU.MOREX.r2.5HG0412150.1,AT2G43840,UDP-glycosyltransferase 74 F1
HORVU.MOREX.r2.5HG0412170.1,AT2G31820,Ankyrin repeat family protein
HORVU.MOREX.r2.5HG0412190.1,AT2G40070,flocculation FLO11-like protein
HORVU.MOREX.r2.5HG0412200.1,AT2G43980,"inositol 1,3,4-trisphosphate 5/6-kinase 4"
HORVU.MOREX.r2.5HG0412280.1,AT5G60150,hypothetical protein
HORVU.MOREX.r2.5HG0412310.1,AT1G10865,cytochrome C oxidase assembly factor
HORVU.MOREX.r2.5HG0412330.1,AT4G08280,Thioredoxin superfamily protein
HORVU.MOREX.r2.5HG0412360.1,AT1G32640,Basic helix-loop-helix (bHLH) DNA-binding family protein
HORVU.MOREX.r2.5HG0412370.1,AT1G09815,polymerase delta 4
HORVU.MOREX.r2.5HG0412380.1,AT4G24160,alpha/beta-Hydrolases superfamily protein
HORVU.MOREX.r2.5HG0412390.1,AT2G36980,Tetratricopeptide repeat (TPR)-like superfamily protein
HORVU.MOREX.r2.5HG0412410.1,AT1G09770,cell division cycle 5
HORVU.MOREX.r2.5HG0412430.1,AT1G33540,serine carboxypeptidase-like 18
HORVU.MOREX.r2.5HG0412440.1,AT3G02890,RING/FYVE/PHD zinc finger superfamily protein
HORVU.MOREX.r2.5HG0412460.1,AT1G33540,serine carboxypeptidase-like 18
HORVU.MOREX.r2.5HG0412540.1,AT4G22830,YCF49-like protein
HORVU.MOREX.r2.5HG0412550.1,AT4G22840,Sodium Bile acid symporter family
HORVU.MOREX.r2.5HG0412560.1,AT5G62190,DEAD box RNA helicase (PRH75)
HORVU.MOREX.r2.5HG0412580.1,AT2G28100,alpha-L-fucosidase 1
HORVU.MOREX.r2.5HG0412640.1,AT2G45680,TCP family transcription factor
HORVU.MOREX.r2.5HG0412650.1,AT1G01910,P-loop containing nucleoside triphosphate hydrolases superfamily protein
HORVU.MOREX.r2.5HG0412660.1,AT4G11810,Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein
HORVU.MOREX.r2.5HG0412670.1,AT1G01880,5'-3' exonuclease family protein
HORVU.MOREX.r2.5HG0412700.1,AT4G25480,dehydration response element B1A
HORVU.MOREX.r2.5HG0412710.1,AT4G25470,C-repeat/DRE binding factor 2
HORVU.MOREX.r2.5HG0412720.1,AT4G25470,C-repeat/DRE binding factor 2
HORVU.MOREX.r2.5HG0412730.1,AT4G25470,C-repeat/DRE binding factor 2
HORVU.MOREX.r2.5HG0412740.1,AT4G25470,C-repeat/DRE binding factor 2
HORVU.MOREX.r2.5HG0412750.1,AT4G25470,C-repeat/DRE binding factor 2
HORVU.MOREX.r2.5HG0412760.1,AT1G30400,multidrug resistance-associated protein 1
HORVU.MOREX.r2.5HG0412780.1,AT4G25480,dehydration response element B1A
HORVU.MOREX.r2.5HG0412820.1,AT5G51990,C-repeat-binding factor 4
HORVU.MOREX.r2.5HG0412830.1,AT4G25470,C-repeat/DRE binding factor 2
HORVU.MOREX.r2.5HG0412840.1,AT4G25470,C-repeat/DRE binding factor 2
HORVU.MOREX.r2.5HG0412850.1,AT5G52050,MATE efflux family protein
HORVU.MOREX.r2.5HG0412940.1,AT5G07220,BCL-2-associated athanogene 3
HORVU.MOREX.r2.5HG0412960.1,AT1G12650,rRNA biogenesis RRP36-like protein
HORVU.MOREX.r2.5HG0412970.1,AT3G61060,phloem protein 2-A13
HORVU.MOREX.r2.5HG0412980.1,AT3G63530,RING/U-box superfamily protein
HORVU.MOREX.r2.5HG0413010.1,AT1G09610,glucuronoxylan 4-O-methyltransferase-like protein (DUF579)
HORVU.MOREX.r2.5HG0413020.1,AT4G11740,Ubiquitin-like superfamily protein
HORVU.MOREX.r2.5HG0413090.1,AT1G63120,RHOMBOID-like 2
HORVU.MOREX.r2.5HG0413130.1,AT4G33495,Ubiquitin carboxyl-terminal hydrolase family protein
HORVU.MOREX.r2.5HG0413140.1,AT3G57130,Ankyrin repeat family protein / BTB/POZ domain-containing protein
HORVU.MOREX.r2.5HG0413150.1,AT4G00730,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
HORVU.MOREX.r2.5HG0413200.1,AT4G11660,winged-helix DNA-binding transcription factor family protein
HORVU.MOREX.r2.5HG0413210.1,AT1G12780,UDP-D-glucose/UDP-D-galactose 4-epimerase 1
HORVU.MOREX.r2.5HG0413220.1,AT1G01225,NC domain-containing protein-like protein
HORVU.MOREX.r2.5HG0413250.1,AT2G16390,SNF2 domain-containing protein / helicase domain-containing protein
HORVU.MOREX.r2.5HG0413260.1,AT3G16110,PDI-like 1-6
HORVU.MOREX.r2.5HG0413270.1,AT1G76940,RNA-binding (RRM/RBD/RNP motifs) family protein
HORVU.MOREX.r2.5HG0413290.1,AT2G13770,nuclease
HORVU.MOREX.r2.5HG0413330.1,AT1G01200,RAB GTPase homolog A3
HORVU.MOREX.r2.5HG0413340.1,AT4G27700,Rhodanese/Cell cycle control phosphatase superfamily protein
HORVU.MOREX.r2.5HG0413350.1,AT4G10750,Phosphoenolpyruvate carboxylase family protein
HORVU.MOREX.r2.5HG0413370.1,AT4G27040,EAP30/Vps36 family protein
HORVU.MOREX.r2.5HG0413380.1,AT5G55150,F-box SKIP23-like protein (DUF295)
HORVU.MOREX.r2.5HG0413390.1,AT4G24090,homer protein
HORVU.MOREX.r2.5HG0413400.1,AT3G16380,poly(A) binding protein 6
HORVU.MOREX.r2.5HG0413410.1,AT2G46640,NAD-dependent protein deacetylase HST1-like protein
HORVU.MOREX.r2.5HG0413420.1,AT5G24400,NagB/RpiA/CoA transferase-like superfamily protein
HORVU.MOREX.r2.5HG0413440.1,AT5G41940,Ypt/Rab-GAP domain of gyp1p superfamily protein
HORVU.MOREX.r2.5HG0413450.1,AT2G46660,"cytochrome P450, family 78, subfamily A, polypeptide 6"
HORVU.MOREX.r2.5HG0413470.1,AT1G26665,"Mediator complex, subunit Med10"
HORVU.MOREX.r2.5HG0413480.1,AT2G46680,homeobox 7
HORVU.MOREX.r2.5HG0413500.1,AT2G21290,30S ribosomal protein S31
HORVU.MOREX.r2.5HG0413510.1,AT3G51150,ATP binding microtubule motor family protein
HORVU.MOREX.r2.5HG0413530.1,AT4G38960,B-box type zinc finger family protein
HORVU.MOREX.r2.5HG0413550.1,AT3G07360,plant U-box 9
HORVU.MOREX.r2.5HG0413560.1,AT5G47250,LRR and NB-ARC domains-containing disease resistance protein
HORVU.MOREX.r2.5HG0413570.1,AT1G77180,chromatin protein family
HORVU.MOREX.r2.5HG0413590.1,AT3G48310,"cytochrome P450, family 71, subfamily A, polypeptide 22"
HORVU.MOREX.r2.5HG0413600.1,AT3G48310,"cytochrome P450, family 71, subfamily A, polypeptide 22"
HORVU.MOREX.r2.5HG0413630.1,AT3G48280,"cytochrome P450, family 71, subfamily A, polypeptide 25"
HORVU.MOREX.r2.5HG0413670.1,AT3G51120,zinc finger CCCH domain-containing protein 44
HORVU.MOREX.r2.5HG0413690.1,AT1G22360,UDP-glucosyl transferase 85A2
HORVU.MOREX.r2.5HG0413700.1,AT1G20575,Nucleotide-diphospho-sugar transferases superfamily protein
HORVU.MOREX.r2.5HG0413710.1,AT1G05180,NAD(P)-binding Rossmann-fold superfamily protein
HORVU.MOREX.r2.5HG0413720.1,AT3G51100,altered inheritance of mitochondria protein
HORVU.MOREX.r2.5HG0413740.1,AT5G17280,"oxidoreductase-like protein, amino-terminal protein"
HORVU.MOREX.r2.5HG0413770.1,AT3G26120,terminal EAR1-like 1
HORVU.MOREX.r2.5HG0413780.1,AT5G11310,Pentatricopeptide repeat (PPR) superfamily protein
HORVU.MOREX.r2.5HG0413900.1,AT3G61130,galacturonosyltransferase 1
HORVU.MOREX.r2.5HG0413910.1,AT4G22920,non-yellowing 1
HORVU.MOREX.r2.5HG0413920.1,AT3G23390,Zinc-binding ribosomal protein family protein
HORVU.MOREX.r2.5HG0413930.1,AT4G01410,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
HORVU.MOREX.r2.5HG0413940.1,AT2G46790,pseudo-response regulator 9
HORVU.MOREX.r2.5HG0413990.1,AT4G01400,oligomeric golgi complex subunit-like protein
HORVU.MOREX.r2.5HG0414000.1,AT4G25290,DNA photolyase
HORVU.MOREX.r2.5HG0414010.1,AT4G22680,myb domain protein 85
HORVU.MOREX.r2.5HG0414030.1,AT4G32180,pantothenate kinase 2
HORVU.MOREX.r2.5HG0414040.1,AT2G26600,Glycosyl hydrolase superfamily protein
HORVU.MOREX.r2.5HG0414050.1,AT2G25660,embryo defective 2410
HORVU.MOREX.r2.5HG0414060.1,AT3G28690,Protein kinase superfamily protein
HORVU.MOREX.r2.5HG0414070.1,AT2G22360,DNAJ heat shock family protein
HORVU.MOREX.r2.5HG0414080.1,AT5G63140,purple acid phosphatase 29
HORVU.MOREX.r2.5HG0414090.1,AT5G63140,purple acid phosphatase 29
HORVU.MOREX.r2.5HG0414100.1,AT5G63140,purple acid phosphatase 29
HORVU.MOREX.r2.5HG0414110.1,AT5G51070,Clp ATPase
HORVU.MOREX.r2.5HG0414140.1,AT1G64255,MuDR family transposase
HORVU.MOREX.r2.5HG0414180.1,AT1G49160,Protein kinase superfamily protein
HORVU.MOREX.r2.5HG0414190.1,AT5G47040,lon protease 2
HORVU.MOREX.r2.5HG0414210.1,AT5G61350,Protein kinase superfamily protein
HORVU.MOREX.r2.5HG0414220.1,AT1G27090,glycine-rich protein
HORVU.MOREX.r2.5HG0414230.1,AT3G22460,O-acetylserine (thiol) lyase (OAS-TL) isoform A2
HORVU.MOREX.r2.5HG0414250.1,AT1G09010,glycoside hydrolase family 2 protein
HORVU.MOREX.r2.5HG0414270.1,AT5G53390,O-acyltransferase (WSD1-like) family protein
HORVU.MOREX.r2.5HG0414290.1,AT5G59870,histone H2A 6
HORVU.MOREX.r2.5HG0414310.1,AT3G49190,O-acyltransferase (WSD1-like) family protein
HORVU.MOREX.r2.5HG0414320.1,AT5G53390,O-acyltransferase (WSD1-like) family protein
HORVU.MOREX.r2.5HG0414380.1,AT5G47070,Protein kinase superfamily protein
HORVU.MOREX.r2.5HG0414440.1,AT3G27690,photosystem II light harvesting complex protein 2.3
HORVU.MOREX.r2.5HG0414480.1,AT1G75680,glycosyl hydrolase 9B7
HORVU.MOREX.r2.5HG0414490.1,AT1G29760,Putative adipose-regulatory protein (Seipin)
HORVU.MOREX.r2.5HG0414520.1,AT1G75760,ER lumen protein retaining receptor family protein
HORVU.MOREX.r2.5HG0414530.1,AT3G10330,Cyclin-like family protein
HORVU.MOREX.r2.5HG0414540.1,AT4G15880,Cysteine proteinases superfamily protein
HORVU.MOREX.r2.5HG0414550.1,AT1G66340,"Signal transduction histidine kinase, hybrid-type, ethylene sensor"
HORVU.MOREX.r2.5HG0414560.1,AT4G38180,FAR1-related sequence 5
HORVU.MOREX.r2.5HG0414580.1,AT1G21230,wall associated kinase 5
HORVU.MOREX.r2.5HG0414590.1,AT3G63390,hypothetical protein
HORVU.MOREX.r2.5HG0414600.1,AT3G25270,Ribonuclease H-like superfamily protein
HORVU.MOREX.r2.5HG0414610.1,AT3G60320,bZIP domain class transcription factor (DUF630 and DUF632)
HORVU.MOREX.r2.5HG0414620.1,AT2G21170,triosephosphate isomerase
HORVU.MOREX.r2.5HG0414630.1,AT2G45360,ankyrin repeat/KH domain protein (DUF1442)
HORVU.MOREX.r2.5HG0414640.1,AT1G48170,proteasome assembly chaperone
HORVU.MOREX.r2.5HG0414650.1,AT2G45360,ankyrin repeat/KH domain protein (DUF1442)
HORVU.MOREX.r2.5HG0414660.1,AT2G26680,FkbM family methyltransferase
HORVU.MOREX.r2.5HG0414670.1,AT3G19910,RING/U-box superfamily protein
HORVU.MOREX.r2.5HG0414690.1,AT2G21150,XAP5 family protein
HORVU.MOREX.r2.5HG0414720.1,AT4G23160,cysteine-rich RECEPTOR-like kinase
HORVU.MOREX.r2.5HG0414740.1,AT4G38380,MATE efflux family protein
HORVU.MOREX.r2.5HG0414750.1,AT4G39090,Papain family cysteine protease
HORVU.MOREX.r2.5HG0414770.1,AT3G21690,MATE efflux family protein
HORVU.MOREX.r2.5HG0414810.1,AT1G51290,F-box and associated interaction domains-containing protein
HORVU.MOREX.r2.5HG0414820.1,AT2G13630,F-box associated ubiquitination effector family protein
HORVU.MOREX.r2.5HG0414830.1,AT3G48630,hypothetical protein
HORVU.MOREX.r2.5HG0414870.1,AT5G42540,exoribonuclease 2
HORVU.MOREX.r2.5HG0414880.1,AT4G38690,PLC-like phosphodiesterases superfamily protein
HORVU.MOREX.r2.5HG0414900.1,AT3G06190,BTB-POZ and MATH domain 2
HORVU.MOREX.r2.5HG0414910.1,AT4G36050,endonuclease/exonuclease/phosphatase family protein
HORVU.MOREX.r2.5HG0414920.1,AT4G16760,acyl-CoA oxidase 1
HORVU.MOREX.r2.5HG0414960.1,AT4G31180,Class II aminoacyl-tRNA and biotin synthetases superfamily protein
HORVU.MOREX.r2.5HG0415020.1,AT3G29763,General transcription factor 2-related zinc finger protein
HORVU.MOREX.r2.5HG0415050.1,AT4G34940,armadillo repeat only 1
HORVU.MOREX.r2.5HG0415070.1,AT4G36010,Pathogenesis-related thaumatin superfamily protein
HORVU.MOREX.r2.5HG0415080.1,AT4G38660,Pathogenesis-related thaumatin superfamily protein
HORVU.MOREX.r2.5HG0415090.1,AT5G51290,Diacylglycerol kinase family protein
HORVU.MOREX.r2.5HG0415100.1,AT4G34950,Major facilitator superfamily protein
HORVU.MOREX.r2.5HG0415130.1,AT1G10660,transmembrane protein
